,RTL_STORE_CD,RTL_FIPS_COUNTY_DSC,RTL_PREMISE_TYPE_CD,RTL_CHANNEL_DSC,RTL_SUBCHANNEL_DSC,RTL_BEER_FLAG,RTL_LIQUOR_FLG,BEERTYPE
24,100657236,WASHINGTON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
25,101916808,SUMMIT,OFF,GROCERY,SUPERETTE,Y,N,LowPoint
26,100644067,WEBER,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
27,101692174,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
28,101497396,DAVIS,OFF,DRUG,CONVENTIONAL DRUG,Y,N,LowPoint
29,100301218,UINTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
30,100447919,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
31,102244483,CARBON,ON,DINING,FAST CASUAL,Y,N,LowPoint
32,101958190,KANE,ON,DINING,FAST CASUAL,Y,N,LowPoint
33,102519973,SALT LAKE,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
34,107349988,WEBER,OFF,GROCERY,SUPERCENTER,Y,N,LowPoint
35,107308752,UTAH,ON,LODGING,FULL SERVICE LODGING,Y,Y,LowPoint
36,107339638,WASHINGTON,ON,DINING,FAST CASUAL,Y,N,LowPoint
37,200112410,SEVIER,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
38,107415139,UTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
39,301612392,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
40,107423527,UTAH,ON,DINING,CASUAL DINING,Y,N,LowPoint
41,205619150,DAVIS,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
42,305626710,CARBON,ON,RECREATION,PRIVATE CLUB,Y,Y,LowPoint
43,203612081,KANE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
44,105608125,CACHE,ON,DINING,CASUAL DINING,Y,N,LowPoint
45,105631059,WASHINGTON,ON,RECREATION,GOLF/COUNTRY CLUB,Y,Y,LowPoint
46,100301216,UINTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
47,100447926,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
